Configuracao,N,K,Iteracoes,SSE,Tempo(ms)
Teste,10000,4,9,5602287.147112,2.0
Teste,100000,8,5,785489.509394,34.0
Teste,1000000,16,19,253407770.163695,3544.0
Teste,10000,4,9,5602287.147112,3.0
Teste,10000,4,9,5602287.147112,2.0
Teste,100000,8,5,785489.509394,26.0
Teste,1000000,16,19,253407770.163695,1922.0
Teste,10000,4,9,5602287.147112,4.0
Teste,100000,8,5,785489.509394,28.0
Teste,1000000,16,19,253407770.163695,1987.0
Teste,10000,4,9,5602287.147112,2.0
Teste,100000,8,5,785489.509394,26.0
Teste,1000000,16,19,253407770.163695,2139.0
Teste,100000,8,5,785489.509394,25.0
