Configuracao,N,K,Iteracoes,SSE,Tempo(ms)
Teste,10000,4,9,5602287.147112,7.0
Teste,100000,8,5,785489.509394,76.0
Teste,1000000,16,19,253407770.163691,4736.0
Teste,10000,4,9,5602287.147112,16.0
Teste,100000,8,5,785489.509394,20.0
Teste,1000000,16,19,253407770.163691,1141.0
Teste,10000,4,9,5602287.147112,2.0
Teste,100000,8,5,785489.509394,38.0
Teste,1000000,16,19,253407770.163691,909.0
Teste,10000,4,9,5602287.147112,11.0
Teste,100000,8,5,785489.509394,17.0
Teste,1000000,16,19,253407770.163691,1429.0
Teste,10000,4,9,5602287.147112,0.0
Teste,100000,8,5,785489.509394,31.0
Teste,1000000,16,19,253407770.163691,1481.0
